dp,09:46:29,09:48:44,09:50:59,09:53:14,09:55:28,09:57:43,09:59:58,10:02:13,10:04:28,10:06:43,10:08:58,10:11:13,10:13:28,10:15:43,10:17:58,10:20:13,10:22:28,10:24:43,10:26:58
dp,09:48:44,09:50:59,09:53:14,09:55:28,09:57:43,09:59:58,10:02:13,10:04:28,10:06:43,10:08:58,10:11:13,10:13:28,10:15:43,10:17:58,10:20:13,10:22:28,10:24:43,10:26:58,10:29:13
9.47,22448.2,23525.8,22000.7,23360.2,20682,21914.5,24124.7,21625.3,22413.3,23997.8,22437.8,23683.5,28955.3,22778.8,24373,23828.6,22069.4,25216
9.82,26448.2,28163.4,22354.7,25447.5,23546.2,25871.7,22313.9,28016.1,27053.9,22991.3,25835.5,27789.9,27437.4,24619.8,21715.2,26583.4,28373,24451.2
 10.2,30969.1,33184.3,28704.1,30217.1,26902.7,32516.6,29774.9,31129.1,30427.4,27670.5,27641.1,26068.7,28157.9,31354.7,28432.7,33316.6,32376.4,32459.5
 10.6,33163.4,34657.7,31812.9,32714.6,33502.7,32141.2,28300.3,37709.1,34285.6,34081.6,33549.3,33561.7,31245,30403.4,33974.9,33895.6,28638.2,36076.7
 10.9,36798.5,37873.1,37882.8,38808.6,37651.2,38756.5,33043,39121.2,41262.1,39123.1,38729.5,36379.9,34703.7,35874.6,37550.9,36216,41426.2,37876.9
 11.3,42079.4,43147.4,43361.4,44710.8,40805.4,48091.6,44952.3,44456.8,45325.4,44816.8,40125.7,42930.6,40439.5,45312.4,41119.2,44675.8,40751.9,43350.7
 11.8,51668.4,48742.3,46941.5,50537.6,52667.8,47463.6,50303.8,45846,51326.4,50871.7,50139.2,50296,48364,49407.3,47258.4,48922.1,50450,55157.3
 12.2,52882.1,56330.5,54405.6,57266.8,49622.4,52931.6,55390.7,56551,58366.3,53899.7,53209.3,54172.4,56204,57063.3,52711.1,54739.2,57986.9,56333.3
 12.6,63428,64542.8,63113.3,68278.2,67556.1,63915.4,59281.4,65088.7,67344.8,59921.6,61565.2,63152.2,62121.3,57807.1,54841.5,62860,66003.8,69590.3
 13.1,67238,74208.9,69610.8,68512.5,68195.3,77929.5,70344.8,71493.8,68858.8,74262.3,70240.6,70647.5,69239.1,73112.5,69083.3,66011.7,68792.5,74795.1
 13.6,80932.1,84152.3,81078.2,85691.6,75718.2,79648.4,82746.6,76603.9,83092,83578.1,80353.7,76204.4,77607.8,82408.5,76720.1,77727.4,83063,86056.5
 14.1,86059.1,88595.5,90947.5,89571.9,82148.6,92968,87580.3,86565,92242.8,87494.9,81398,91391.5,87398.2,86716,87510.5,83996.8,93172.1,92850.9
 14.6,94579.1,102777,103759,95694.5,101074,98452.3,94099.8,101446,98694.3,101097,97615.5,101468,100730,90064.4,93057.6,97431,97455.1,101636
 15.1,108677,108283,105140,114487,108471,110358,111118,108645,116249,110924,107837,107872,113106,106613,105049,106680,110859,113848
 15.7,116477,122772,124908,129883,116347,122846,115372,116778,125200,122204,117270,121940,121360,119384,116656,113967,121333,131619
 16.3,131301,137975,134501,135376,130737,141650,132802,137079,135535,137235,130269,133044,131118,131875,128726,134158,133973,138779
 16.8,140739,149295,139857,144354,138367,148638,146869,146225,150674,150233,146872,140614,143887,134586,137608,137944,143415,149367
 17.5,158996,158038,151297,165179,147410,161234,156695,159722,164035,154452,159229,157952,157608,158476,154488,160416,157452,168232
 18.1,171428,178300,170191,176106,166106,172322,171718,176726,173517,173311,171033,172896,171537,173620,164231,164668,170626,175264
 18.8,181669,187433,182371,183865,182039,187588,184527,189679,195246,181165,179407,183395,184402,182512,181706,181931,185315,188505
 19.5,201597,197861,205916,200041,193685,202316,195928,194841,196915,195504,197584,202105,198356,195819,185656,196140,195635,197317
 20.2,208321,216098,207896,219850,212223,215715,205124,206934,213614,215449,208533,206804,214697,212036,210872,207904,213248,217003
 20.9,229146,227898,223273,228089,218477,220986,225832,226886,229828,223205,225392,223356,223107,224734,223288,229212,228438,221971
 21.7,235454,232270,237591,240315,239593,238745,240387,241673,240635,237908,238131,239744,239450,242902,236312,239351,238475,241901
 22.5,250190,249753,250591,247783,251523,252783,252766,252026,257216,252206,255072,257435,248612,248869,249840,257481,257425,254727
 23.3,258769,269591,266051,267304,258296,253111,262555,265208,268628,265427,261998,275563,267208,264482,261056,264656,274118,266841
 24.1,280580,286919,284609,280509,278170,279367,286787,276784,281569,293141,283002,277598,273067,274845,277350,277363,280192,278157
 25.0,300829,294536,294556,290747,294805,288110,291073,289832,299645,297913,294027,290872,293132,288939,290746,295233,288653,289359
 25.9,296862,302110,307290,309098,310898,301258,312471,308361,300076,303314,308831,305366,301288,296180,301982,304665,304705,301043
 26.9,315169,310895,314785,313414,321511,311611,318313,308124,312320,316341,322880,315441,311517,314244,316622,317481,316872,305790
 27.9,319861,316787,324765,314693,322304,309898,330468,323832,316112,327774,331102,324909,324338,322756,318419,322851,317613,319698
 28.9,330512,329322,336081,326382,339243,327579,334797,327401,323713,327323,335692,330772,334362,327609,329329,332976,321634,326140
 30.0,332535,330766,341189,331644,334001,334686,329131,336150,333053,334538,349236,336007,332947,337312,337614,341576,337741,324717
 31.1,344683,329196,343417,341692,342901,330667,348067,349106,340047,343365,351489,341627,344187,342850,344233,347996,346375,340330
 32.2,343770,346076,353401,335107,351794,339801,355297,355995,338443,355562,354547,334704,354525,354597,354402,358005,348090,341881
 33.4,347295,339695,353023,346636,351220,339412,350467,353504,341230,354532,364271,345981,349487,356411,351042,348257,350843,333841
 34.6,359642,335987,352065,342137,353942,345066,360114,358254,339009,353878,371314,348489,358070,351468,361853,359529,353758,342240
 35.9,357976,343998,361837,336950,367633,349118,373844,349123,340998,356153,365960,350710,361464,359891,364732,364320,350243,346477
 37.2,364970,345452,367198,345189,356091,337878,366500,346149,345400,360621,359496,344857,361674,356380,358313,359711,350116,336960
 38.5,361152,330143,356051,345940,359716,331803,360201,347145,339837,356059,360495,339330,359528,354221,355880,352800,353549,331292
 40.0,350910,331591,357226,343466,360814,345298,365755,341596,337645,363052,359223,341526,354638,359611,362930,355381,350120,333741
 41.4,356987,326721,350583,334743,353244,332444,356152,355319,326667,347860,360870,331443,346190,350992,357162,353424,351374,326862
 42.9,358411,328940,354153,335233,351316,323660,354927,335999,316326,346037,352126,335191,349896,344553,347481,350226,338818,322012
 44.5,335759,319125,344367,320915,344759,322699,342945,328936,324301,342201,347292,325897,338420,338257,348550,342469,335859,313236
 46.1,332705,311115,337177,311494,341283,312302,334449,322699,309151,337609,344764,316242,348498,339269,336293,327252,339247,310114
 47.8,332231,296731,332566,310292,325074,293103,334384,323058,302457,332855,329222,305643,337423,330949,337971,329941,318122,290097
 49.6,325445,298216,319914,300772,325458,294091,323854,307139,298089,319201,326045,295340,320107,320189,322487,314077,318338,292609
 51.4,309295,284930,314857,298264,311239,291454,314216,300966,287165,316271,316375,289776,321584,316023,310816,307943,314542,284373
 53.3,304920,276431,304664,287260,308221,273988,308286,291238,276407,303557,308211,282400,308579,300821,312704,300024,302414,278168
 55.2,291277,264282,293675,278799,301501,264093,297184,288530,271365,297421,296242,277327,300580,296534,296601,287558,296460,271802
 57.3,276855,259435,281798,269397,285771,260956,288995,274073,254334,287422,287272,264341,285116,288618,283892,281236,279668,248944
 59.4,272784,245935,274110,251226,277035,249945,277139,263573,244647,272988,274309,250695,273835,272017,276368,266792,270959,240674
 61.5,257693,237249,255876,249832,264489,238181,257471,256408,241141,265228,264064,240275,264577,267202,263857,252116,253291,238298
 63.8,246198,226647,248142,243089,250065,221121,253961,243260,225905,248835,248578,232084,244268,248355,249983,245073,243389,224140
 66.1,236689,213695,231602,221569,234339,214552,236294,229529,207686,237661,236353,219404,234935,237541,232091,229511,231553,213237
 68.5,220233,205069,224168,213005,225165,200762,218918,207825,206514,223253,220576,202643,225549,222983,225398,215173,220037,201846
 71.0,207003,192275,209828,198171,210618,189255,207311,198282,190764,210716,212651,196597,205208,207262,207811,201248,209990,196098
 73.7,192811,176157,194226,186637,194632,179861,198331,193612,182493,198494,195655,180955,195993,200251,193476,187908,192545,181989
 76.4,178160,168397,177790,171142,182138,168288,181269,176770,168575,181885,183396,171254,181923,179290,184588,176460,182758,165876
 79.1,165834,158740,168383,163059,166042,159598,169975,167086,152678,167765,170491,158811,166981,170847,168830,162051,167442,158198
 82.0,155131,146218,157334,150138,157419,142404,153036,154148,140833,155563,157797,147043,154088,155201,155661,150279,158341,146732
 85.1,140558,137853,145903,143237,142233,134935,141300,142607,134827,146359,143740,132862,145492,143417,143809,141573,145672,132012
 88.2,132251,123171,134529,133488,131367,123025,130721,128343,124433,134502,132183,123427,135810,134760,133718,129302,132510,123724
 91.4,120600,114369,118977,119156,120840,112179,119732,118827,113712,120496,119071,116397,121267,120024,120857,115556,121201,114395
 94.7,110746,106281,109531,107097,110526,101823,107967,105965,106304,110255,110463,104542,112089,112427,112549,106934,111221,105849
 98.2,101692,97522.7,103985,99741.2,103480,97244.3,98655.3,98066.3,97419.2,100818,104259,96271.3,102657,102202,101737,100808,101927,98305.3
102,94478.2,90492.3,91880.2,94023.4,94120.8,87048.9,92343,93034.2,88188.4,94863.3,92653.4,88734,96795.9,97514.3,96622.6,91245.1,96097.4,88823.2
106,85308.3,85143,89494.5,83754.3,88543,82934.2,85004.5,85432.8,85342.6,86269.1,89191,84150.6,86041.4,89356.5,88063.8,85143.2,87004,83188.4
109,80727.6,75306.3,79678.9,79733.6,80858.1,74925.6,79484.6,79290.3,76417.8,80224.4,79254,75040.4,79042,80378.8,81389.9,78841.2,79204.4,74972.2
113,74250.4,69410.6,75990.3,71741.3,74552,70299.1,71492.9,72498,71432.2,73804.5,75160.1,70968.6,75005.1,74811.2,75809.9,71147.1,75846.3,70485.3
118,70252,65981.4,70825.9,68815.8,70882.3,65416.8,68224.6,69629.6,65492.5,68764.7,70181.8,66208.7,70197.7,71303.5,70760.5,67919.4,71707.6,63840.9
