,,Kappa Values for lines of contstant kappa (1.0 down to 0.001),,,,,,,,,,,,,,,,,,,,,,,,,,,
Diameter (m),Diameter (nm),k = 1,k = 0.9,k = 0.8,k = 0.7,k = 0.6,k = 0.5,k = 0.4,k = 0.3,k = 0.2,k = 0.1,k = 0.09,k = 0.08,k = 0.07,k = 0.06,k = 0.05,k = 0.04,k = 0.03,k = 0.02,k = 0.01,k = 0.009,k = 0.008,k = 0.007,k = 0.006,k = 0.005,k = 0.004,k = 0.003,k = 0.002,k = 0.001
2.42E-08,24.2,0.9869,1.0402,1.1031,1.1789,1.2727,1.393,1.5549,1.7892,2.1721,2.9709,3.1066,3.262,3.4422,3.6547,3.9106,4.2274,4.6358,5.1973,6.0755,6.1972,6.3291,6.4734,6.633,6.8119,7.0165,7.2575,7.5542,7.8762
2.54E-08,25.4,0.9201,0.9698,1.0285,1.0992,1.1867,1.299,1.45,1.6689,2.0272,2.7775,2.9055,3.0522,3.2226,3.4238,3.6666,3.968,4.3575,4.8949,5.739,5.8563,5.9836,6.1228,6.2769,6.4497,6.6476,6.8809,7.1696,7.4905
2.66E-08,26.6,0.8579,0.9042,0.959,1.0249,1.1066,1.2113,1.3523,1.5567,1.8919,2.5965,2.7171,2.8555,3.0165,3.207,3.4373,3.7238,4.0952,4.6094,5.4207,5.5337,5.6564,5.7907,5.9395,6.1065,6.2979,6.5237,6.8037,7.1235
2.78E-08,27.8,0.7999,0.8431,0.8942,0.9557,1.0318,1.1295,1.2611,1.4521,1.7655,2.427,2.5406,2.6711,2.8232,3.0035,3.2218,3.4941,3.848,4.3398,5.1193,5.2282,5.3466,5.4762,5.6198,5.7812,5.9662,6.1847,6.4561,6.7745
2.92E-08,29.2,0.7459,0.7861,0.8337,0.8911,0.9622,1.0533,1.1761,1.3544,1.6475,2.2683,2.3753,2.4984,2.642,2.8124,3.0193,3.2779,3.6151,4.0854,4.8342,4.9391,5.0532,5.1782,5.3169,5.4728,5.6517,5.8632,6.1261,6.4423
3.05E-08,30.5,0.6955,0.733,0.7774,0.8309,0.8972,0.9822,1.0968,1.2634,1.5374,2.1198,2.2205,2.3365,2.472,2.6331,2.8291,3.0746,3.3957,3.8452,4.5644,4.6654,4.7753,4.896,5.0298,5.1804,5.3534,5.5581,5.8128,6.1262
3.20E-08,32,0.6485,0.6835,0.7249,0.7748,0.8366,0.9159,1.0229,1.1784,1.4346,1.9808,2.0755,2.1848,2.3127,2.4649,2.6504,2.8834,3.1891,3.6185,4.309,4.4063,4.5123,4.6286,4.7578,4.9033,5.0705,5.2686,5.5154,5.8254
3.35E-08,33.5,0.6047,0.6373,0.6759,0.7225,0.7801,0.8541,0.954,1.0991,1.3386,1.8507,1.9399,2.0428,2.1633,2.3071,2.4826,2.7037,2.9944,3.4045,4.0674,4.1611,4.2632,4.3753,4.5,4.6405,4.8022,4.9939,5.2329,5.539
3.51E-08,35.1,0.5638,0.5943,0.6303,0.6737,0.7275,0.7965,0.8897,1.0252,1.249,1.729,1.8129,1.9097,2.0233,2.1591,2.3251,2.5346,2.8112,3.2027,3.8387,3.9289,4.0273,4.1354,4.2557,4.3914,4.5477,4.7332,4.9648,5.2664
3.68E-08,36.8,0.5258,0.5542,0.5877,0.6282,0.6784,0.7428,0.8297,0.9562,1.1653,1.6152,1.694,1.7851,1.8922,2.0202,2.1772,2.3758,2.6386,3.0122,3.6224,3.7092,3.8039,3.9082,4.0242,4.1552,4.3063,4.4858,4.7101,5.0068
3.85E-08,38.5,0.4903,0.5168,0.5481,0.5858,0.6326,0.6927,0.7738,0.8919,1.0872,1.5088,1.5828,1.6685,1.7693,1.8901,2.0384,2.2265,2.4762,2.8325,3.4177,3.5012,3.5924,3.6929,3.8048,3.9313,4.0773,4.251,4.4683,4.7596
4.04E-08,40.4,0.4572,0.4819,0.5111,0.5463,0.5899,0.6459,0.7216,0.8319,1.0144,1.4092,1.4787,1.5593,1.6542,1.768,1.9081,2.0862,2.3233,2.663,3.224,3.3044,3.3922,3.489,3.5969,3.7191,3.8601,4.0281,4.2387,4.5242
4.23E-08,42.3,0.4263,0.4493,0.4766,0.5094,0.5501,0.6024,0.673,0.7759,0.9464,1.3161,1.3814,1.4571,1.5464,1.6537,1.7859,1.9544,2.1795,2.5032,3.0408,3.1181,3.2026,3.2959,3.4,3.5178,3.6541,3.8166,4.0206,4.3
4.43E-08,44.3,0.3975,0.419,0.4444,0.475,0.513,0.5617,0.6276,0.7237,0.8829,1.2291,1.2903,1.3615,1.4454,1.5465,1.6713,1.8306,2.0441,2.3525,2.8675,2.9418,3.0232,3.113,3.2133,3.3271,3.4587,3.6159,3.8134,4.0864
4.64E-08,46.4,0.3707,0.3907,0.4144,0.443,0.4784,0.5239,0.5853,0.6749,0.8237,1.1477,1.2052,1.272,1.3509,1.4461,1.5637,1.7144,1.9168,2.2104,2.7036,2.7751,2.8533,2.9398,3.0365,3.1462,3.2734,3.4254,3.6167,3.8829
4.86E-08,48.6,0.3457,0.3644,0.3864,0.4131,0.4461,0.4885,0.5459,0.6295,0.7684,1.0717,1.1256,1.1883,1.2625,1.352,1.4629,1.6053,1.7971,2.0765,2.5487,2.6173,2.6925,2.7758,2.8689,2.9748,3.0976,3.2446,3.4298,3.6891
5.09E-08,50.9,0.3224,0.3398,0.3604,0.3852,0.416,0.4556,0.5091,0.5871,0.7168,1.0006,1.0511,1.11,1.1797,1.2639,1.3684,1.5029,1.6846,1.9503,2.4021,2.468,2.5403,2.6205,2.7102,2.8123,2.9309,3.073,3.2523,3.5044
5.34E-08,53.4,0.3006,0.3169,0.3361,0.3592,0.388,0.4249,0.4748,0.5476,0.6687,0.9341,0.9815,1.0368,1.1022,1.1814,1.2799,1.4067,1.5788,1.8314,2.2635,2.3268,2.3963,2.4734,2.5599,2.6583,2.7728,2.9101,3.0838,3.3284
5.59E-08,55.9,0.2803,0.2955,0.3134,0.335,0.3618,0.3962,0.4428,0.5107,0.6238,0.8721,0.9165,0.9683,1.0297,1.1042,1.1969,1.3166,1.4794,1.7194,2.1326,2.1933,2.2601,2.3342,2.4175,2.5123,2.6228,2.7556,2.9237,3.1609
5.86E-08,58.6,0.2614,0.2755,0.2922,0.3124,0.3374,0.3695,0.4129,0.4763,0.5819,0.8141,0.8557,0.9042,0.9619,1.0319,1.1191,1.232,1.386,1.614,2.0087,2.067,2.1312,2.2025,2.2826,2.374,2.4806,2.6089,2.7716,3.0017
6.14E-08,61.4,0.2438,0.257,0.2725,0.2913,0.3146,0.3446,0.3851,0.4443,0.5428,0.7599,0.7989,0.8444,0.8985,0.9642,1.0462,1.1527,1.2982,1.5146,1.8917,1.9476,2.0092,2.0777,2.1548,2.2429,2.3458,2.4698,2.6272,2.8503
6.43E-08,64.3,0.2273,0.2396,0.2542,0.2717,0.2934,0.3214,0.3591,0.4143,0.5063,0.7093,0.7458,0.7884,0.8392,0.9009,0.978,1.0783,1.2158,1.4211,1.7812,1.8348,1.8939,1.9597,2.0339,2.1188,2.218,2.3377,2.49,2.7064
6.73E-08,67.3,0.212,0.2235,0.237,0.2534,0.2736,0.2997,0.3349,0.3864,0.4723,0.662,0.6962,0.7361,0.7837,0.8416,0.9141,1.0086,1.1384,1.3331,1.6767,1.7281,1.7848,1.8481,1.9194,2.0011,2.0968,2.2124,2.3598,2.5695
7.05E-08,70.5,0.1977,0.2084,0.221,0.2363,0.2552,0.2795,0.3124,0.3604,0.4406,0.6179,0.6498,0.6873,0.7319,0.7862,0.8543,0.9432,1.0658,1.2503,1.5781,1.6273,1.6817,1.7424,1.811,1.8896,1.9818,2.0935,2.2361,2.4394
7.39E-08,73.9,0.1844,0.1943,0.2061,0.2203,0.238,0.2606,0.2913,0.3361,0.4109,0.5766,0.6066,0.6416,0.6834,0.7343,0.7983,0.882,0.9976,1.1724,1.4849,1.5321,1.5842,1.6425,1.7084,1.784,1.8729,1.9807,2.1186,2.3157
7.74E-08,77.4,0.1719,0.1812,0.1922,0.2055,0.2219,0.2431,0.2717,0.3135,0.3833,0.5381,0.5661,0.5989,0.6381,0.6859,0.7459,0.8246,0.9337,1.0992,1.397,1.4421,1.492,1.5479,1.6112,1.6841,1.7697,1.8737,2.007,2.1981
8.11E-08,81.1,0.1603,0.169,0.1793,0.1916,0.207,0.2267,0.2534,0.2924,0.3575,0.5022,0.5284,0.5591,0.5957,0.6405,0.6969,0.7709,0.8737,1.0303,1.3139,1.3571,1.4049,1.4586,1.5193,1.5894,1.6718,1.7722,1.9011,2.0862
8.50E-08,85,0.1495,0.1576,0.1672,0.1787,0.193,0.2114,0.2363,0.2727,0.3335,0.4686,0.4931,0.5218,0.5562,0.5981,0.651,0.7206,0.8174,0.9655,1.2355,1.2768,1.3226,1.374,1.4324,1.4997,1.5791,1.6759,1.8005,1.9799
8.90E-08,89,0.1394,0.147,0.1559,0.1667,0.18,0.1971,0.2204,0.2543,0.311,0.4372,0.4602,0.487,0.5192,0.5585,0.6081,0.6734,0.7647,0.9047,1.1616,1.201,1.2449,1.2941,1.3501,1.4148,1.4913,1.5846,1.705,1.8788
9.33E-08,93.3,0.13,0.1371,0.1454,0.1554,0.1679,0.1839,0.2055,0.2372,0.2901,0.408,0.4294,0.4546,0.4846,0.5215,0.568,0.6293,0.7152,0.8475,1.0918,1.1295,1.1715,1.2186,1.2723,1.3345,1.408,1.4981,1.6144,1.7828
9.77E-08,97.7,0.1213,0.1278,0.1356,0.1449,0.1565,0.1715,0.1917,0.2212,0.2706,0.3807,0.4007,0.4242,0.4524,0.4869,0.5305,0.5881,0.6688,0.7938,1.026,1.062,1.1021,1.1473,1.1988,1.2584,1.3292,1.416,1.5283,1.6914
1.02E-07,102,0.1131,0.1192,0.1264,0.1352,0.146,0.1599,0.1787,0.2063,0.2524,0.3552,0.3739,0.3959,0.4222,0.4545,0.4954,0.5494,0.6254,0.7433,0.9639,0.9983,1.0366,1.0799,1.1292,1.1865,1.2545,1.3381,1.4467,1.6046
1.07E-07,107,0.1055,0.1112,0.1179,0.1261,0.1361,0.1491,0.1667,0.1924,0.2354,0.3314,0.3489,0.3694,0.3941,0.4243,0.4626,0.5133,0.5847,0.6959,0.9054,0.9382,0.9748,1.0162,1.0634,1.1184,1.1838,1.2643,1.3691,1.522
1.12E-07,112,0.0984,0.1037,0.11,0.1176,0.127,0.1391,0.1555,0.1794,0.2196,0.3092,0.3255,0.3447,0.3678,0.3961,0.4319,0.4795,0.5466,0.6515,0.8503,0.8816,0.9165,0.956,1.0013,1.054,1.1169,1.1944,1.2955,1.4435
1.18E-07,118,0.0917,0.0967,0.1026,0.1096,0.1184,0.1297,0.145,0.1674,0.2048,0.2884,0.3037,0.3217,0.3432,0.3697,0.4033,0.4478,0.5109,0.6098,0.7983,0.8281,0.8615,0.8993,0.9426,0.9931,1.0535,1.1281,1.2257,1.369
1.23E-07,123,0.0855,0.0902,0.0956,0.1022,0.1104,0.121,0.1352,0.1561,0.191,0.2691,0.2834,0.3001,0.3203,0.345,0.3765,0.4183,0.4775,0.5706,0.7494,0.7778,0.8096,0.8457,0.8871,0.9355,0.9935,1.0653,1.1595,1.2981
1.29E-07,129,0.0798,0.0841,0.0892,0.0953,0.103,0.1128,0.1261,0.1456,0.1781,0.251,0.2644,0.2801,0.2989,0.322,0.3515,0.3906,0.4462,0.5339,0.7033,0.7303,0.7606,0.7951,0.8347,0.8811,0.9367,1.0058,1.0966,1.2307
1.35E-07,135,0.0744,0.0784,0.0832,0.0889,0.096,0.1052,0.1176,0.1358,0.1661,0.2342,0.2466,0.2613,0.2789,0.3005,0.3281,0.3648,0.4169,0.4995,0.6599,0.6856,0.7145,0.7473,0.7852,0.8296,0.883,0.9494,1.037,1.1667
1.42E-07,142,0.0694,0.0731,0.0776,0.0829,0.0896,0.0981,0.1097,0.1266,0.155,0.2185,0.2301,0.2438,0.2602,0.2805,0.3062,0.3406,0.3895,0.4672,0.619,0.6435,0.671,0.7023,0.7385,0.781,0.8322,0.896,0.9804,1.1058
1.48E-07,148,0.0647,0.0682,0.0723,0.0773,0.0835,0.0915,0.1023,0.1181,0.1445,0.2038,0.2147,0.2274,0.2428,0.2617,0.2858,0.318,0.3639,0.4369,0.5806,0.6038,0.63,0.6598,0.6944,0.735,0.7841,0.8455,0.9268,1.048
1.56E-07,156,0.0603,0.0636,0.0675,0.0721,0.0779,0.0853,0.0954,0.1101,0.1348,0.1901,0.2002,0.2122,0.2265,0.2442,0.2668,0.2969,0.3399,0.4086,0.5444,0.5664,0.5914,0.6198,0.6528,0.6916,0.7387,0.7976,0.8759,0.9931
