,,Kappa Values for lines of contstant kappa (1.0 down to 0.001),,,,,,,,,,,,,,,,,,,,,,,,,,,
Diameter (m),Diameter (nm),k = 1,k = 0.9,k = 0.8,k = 0.7,k = 0.6,k = 0.5,k = 0.4,k = 0.3,k = 0.2,k = 0.1,k = 0.09,k = 0.08,k = 0.07,k = 0.06,k = 0.05,k = 0.04,k = 0.03,k = 0.02,k = 0.01,k = 0.009,k = 0.008,k = 0.007,k = 0.006,k = 0.005,k = 0.004,k = 0.003,k = 0.002,k = 0.001
5.72E-07,572,0.0086,0.009,0.0096,0.0102,0.011,0.0121,0.0135,0.0156,0.0191,0.027,0.0285,0.0302,0.0323,0.0349,0.0382,0.0427,0.0492,0.06,0.0839,0.0881,0.0931,0.099,0.1061,0.115,0.1265,0.1421,0.1652,0.2049
5.99E-07,599,0.008,0.0084,0.0089,0.0095,0.0103,0.0113,0.0126,0.0146,0.0178,0.0252,0.0266,0.0282,0.0301,0.0325,0.0356,0.0398,0.0459,0.056,0.0783,0.0823,0.087,0.0925,0.0992,0.1076,0.1184,0.1332,0.1551,0.1931
6.28E-07,628,0.0074,0.0078,0.0083,0.0089,0.0096,0.0105,0.0118,0.0136,0.0166,0.0235,0.0248,0.0263,0.0281,0.0303,0.0332,0.0371,0.0428,0.0523,0.0731,0.0769,0.0812,0.0864,0.0927,0.1006,0.1108,0.1248,0.1456,0.182
6.58E-07,658,0.0069,0.0073,0.0078,0.0083,0.009,0.0098,0.011,0.0127,0.0155,0.0219,0.0231,0.0245,0.0262,0.0283,0.031,0.0346,0.0399,0.0488,0.0683,0.0718,0.0759,0.0807,0.0867,0.0941,0.1037,0.1169,0.1367,0.1714
6.89E-07,689,0.0065,0.0068,0.0072,0.0077,0.0084,0.0091,0.0102,0.0118,0.0145,0.0204,0.0216,0.0229,0.0244,0.0264,0.0289,0.0323,0.0372,0.0455,0.0637,0.067,0.0709,0.0754,0.081,0.088,0.097,0.1095,0.1283,0.1614
7.22E-07,722,0.006,0.0064,0.0067,0.0072,0.0078,0.0085,0.0095,0.011,0.0135,0.0191,0.0201,0.0213,0.0228,0.0246,0.0269,0.0301,0.0347,0.0424,0.0595,0.0626,0.0662,0.0704,0.0757,0.0822,0.0908,0.1026,0.1203,0.1519
7.56E-07,756,0.0056,0.0059,0.0063,0.0067,0.0073,0.008,0.0089,0.0103,0.0126,0.0178,0.0187,0.0199,0.0213,0.023,0.0251,0.0281,0.0324,0.0396,0.0555,0.0584,0.0618,0.0658,0.0707,0.0768,0.0849,0.096,0.1129,0.143
7.92E-07,792,0.0052,0.0055,0.0059,0.0063,0.0068,0.0074,0.0083,0.0096,0.0117,0.0166,0.0175,0.0185,0.0198,0.0214,0.0234,0.0262,0.0302,0.0369,0.0518,0.0545,0.0577,0.0614,0.066,0.0718,0.0794,0.0899,0.1058,0.1346
8.30E-07,830,0.0049,0.0052,0.0055,0.0058,0.0063,0.0069,0.0077,0.0089,0.0109,0.0155,0.0163,0.0173,0.0185,0.02,0.0219,0.0244,0.0282,0.0345,0.0484,0.0509,0.0539,0.0574,0.0617,0.0671,0.0742,0.0841,0.0992,0.1266
8.70E-07,870,0.0046,0.0048,0.0051,0.0055,0.0059,0.0065,0.0072,0.0083,0.0102,0.0144,0.0152,0.0161,0.0172,0.0186,0.0204,0.0228,0.0263,0.0321,0.0452,0.0475,0.0503,0.0536,0.0576,0.0627,0.0694,0.0787,0.093,0.1191
9.11E-07,911,0.0043,0.0045,0.0048,0.0051,0.0055,0.006,0.0067,0.0078,0.0095,0.0135,0.0142,0.015,0.0161,0.0174,0.019,0.0213,0.0245,0.03,0.0421,0.0443,0.0469,0.05,0.0538,0.0586,0.0649,0.0737,0.0872,0.112
9.55E-07,955,0.004,0.0042,0.0044,0.0047,0.0051,0.0056,0.0063,0.0072,0.0089,0.0125,0.0132,0.014,0.015,0.0162,0.0177,0.0198,0.0229,0.028,0.0393,0.0414,0.0438,0.0467,0.0502,0.0547,0.0606,0.0689,0.0817,0.1053
1.00E-06,1000,0.0037,0.0039,0.0041,0.0044,0.0048,0.0052,0.0059,0.0068,0.0083,0.0117,0.0123,0.0131,0.014,0.0151,0.0165,0.0185,0.0213,0.0261,0.0367,0.0386,0.0409,0.0436,0.0469,0.0511,0.0567,0.0645,0.0765,0.099
